config,cpsc_relative_difference,declared_task_count,equal_task_attempt_cost_pareto_frontier,equal_task_cpsc_rank,equal_task_cpsc_usd,equal_task_mean_cost_per_attempt_usd,equal_task_pass_rate,equal_task_pass_rate_rank,equal_task_rank_displacement,full_basket_identified,harness,missing_task_count,missing_tasks,model,observed_attempt_cpsc_usd,observed_attempt_pass_rate,observed_task_count,provider,reasoning_effort
mini_swe_agent_claude_fable_5_high,-0.0014369183925354578,113,False,31.0,13.358351864353502,9.181404083759192,0.6873156342182891,7.0,24.0,True,mini-swe-agent,0,[],claude-fable-5,13.377574346980188,0.686046511627907,113,vertex_ai,high
mini_swe_agent_claude_fable_5_low,0.001720313647246563,113,False,16.0,6.317667780801095,3.7831461932230748,0.5988200589970502,14.0,2.0,True,mini-swe-agent,0,[],claude-fable-5,6.306818075594948,0.5958429561200924,113,vertex_ai,low
mini_swe_agent_claude_fable_5_max,0.01182183668598591,113,False,38.0,31.39553390546643,21.64810044366601,0.68952802359882,6.0,32.0,True,mini-swe-agent,0,[],claude-fable-5,31.028717474902535,0.6972477064220184,113,vertex_ai,max
mini_swe_agent_claude_fable_5_medium,-0.006436891378554854,113,False,26.0,9.253904998703288,6.066903793397657,0.6556047197640118,10.0,16.0,True,mini-swe-agent,0,[],claude-fable-5,9.31385728637102,0.6536697247706422,113,vertex_ai,medium
mini_swe_agent_claude_fable_5_xhigh,2.220446049250313e-16,113,False,35.0,19.187859860702986,13.414521495535714,0.6991150442477876,3.0,32.0,True,mini-swe-agent,0,[],claude-fable-5,19.187859860702982,0.6991150442477876,113,vertex_ai,xhigh
mini_swe_agent_claude_opus_4_8_high,0.0,113,False,23.0,8.271097811965811,4.281940017699115,0.5176991150442478,20.5,2.5,True,mini-swe-agent,0,[],claude-opus-4-8,8.271097811965811,0.5176991150442478,113,anthropic,high
mini_swe_agent_claude_opus_4_8_low,-0.0026768170010038617,113,False,15.0,5.6062003231046935,2.2904387750737465,0.4085545722713864,28.0,-13.0,True,mini-swe-agent,0,[],claude-opus-4-8,5.621247373641305,0.4079822616407982,113,anthropic,low
mini_swe_agent_claude_opus_4_8_max,,113,False,,22.03062216475096,12.95043329954955,0.5878378378378378,,,False,mini-swe-agent,2,"[""ofetch-per-origin-circuit-breaker"", ""superjson-error-stack-serialization""]",claude-opus-4-8,22.420902614624506,0.5897435897435898,111,anthropic,max
mini_swe_agent_claude_opus_4_8_medium,0.0,113,False,18.0,7.075560956818182,3.4438571028761062,0.48672566371681414,23.0,-5.0,True,mini-swe-agent,0,[],claude-opus-4-8,7.075560956818182,0.48672566371681414,113,anthropic,medium
mini_swe_agent_claude_opus_4_8_xhigh,-0.007772015011912492,113,False,32.0,14.613276517591338,7.964020167035398,0.5449852507374632,16.0,16.0,True,mini-swe-agent,0,[],claude-opus-4-8,14.727740739711933,0.5436241610738255,113,anthropic,xhigh
mini_swe_agent_claude_sonnet_4_6_high,0.0016519790601499107,113,False,34.0,18.47922258037037,5.5192368326327435,0.29867256637168144,35.0,-1.0,True,mini-swe-agent,0,[],claude-sonnet-4-6,18.44874563888889,0.29933481152993346,113,anthropic,high
mini_swe_agent_claude_sonnet_5_high,0.0,113,False,33.0,15.396115563583475,7.425560161197339,0.4823008849557522,24.0,9.0,True,mini-swe-agent,0,[],claude-sonnet-5,15.396115563583475,0.4823008849557522,113,anthropic,high
mini_swe_agent_claude_sonnet_5_low,0.007469681138977391,113,False,20.0,7.2196838737226265,2.188267014823009,0.3030973451327434,34.0,-14.0,True,mini-swe-agent,0,[],claude-sonnet-5,7.166154981021898,0.3051224944320713,113,anthropic,low
mini_swe_agent_claude_sonnet_5_max,-0.0024411150894851907,113,False,39.0,48.90862573395833,25.969181805641593,0.5309734513274337,19.0,20.0,True,mini-swe-agent,0,[],claude-sonnet-5,49.02830948004201,0.5384615384615384,113,anthropic,max
mini_swe_agent_claude_sonnet_5_medium,-0.0009236160106523839,113,False,27.0,10.245089076111112,4.079902729424779,0.39823008849557523,29.0,-2.0,True,mini-swe-agent,0,[],claude-sonnet-5,10.254560352234638,0.3977777777777778,113,anthropic,medium
mini_swe_agent_claude_sonnet_5_xhigh,0.0032968132033457387,113,False,37.0,24.019446067756313,11.921155754867256,0.4963126843657817,22.0,15.0,True,mini-swe-agent,0,[],claude-sonnet-5,23.940518649776784,0.49667405764966743,113,anthropic,xhigh
mini_swe_agent_gemini_3_1_pro_preview_high,0.004841531079436079,113,False,40.0,81.07298379496855,9.50634544498525,0.1172566371681416,38.0,2.0,True,mini-swe-agent,0,[],gemini-3-1-pro-preview,80.68235765283019,0.11751662971175167,113,vertex_ai,high
mini_swe_agent_gemini_3_5_flash_medium,0.0,113,False,36.0,19.636120955325442,7.341823985508849,0.37389380530973454,30.0,6.0,True,mini-swe-agent,0,[],gemini-3-5-flash,19.636120955325442,0.37389380530973454,113,vertex_ai,medium
mini_swe_agent_glm_5_2_high,0.0,113,False,21.0,7.814960034146341,2.8355164725663715,0.36283185840707965,31.0,-10.0,True,mini-swe-agent,0,[],glm-5-2,7.814960034146341,0.36283185840707965,113,zai,high
mini_swe_agent_glm_5_2_max,-0.002428574040500342,113,False,24.0,8.932357892592591,3.9128470414454277,0.43805309734513276,27.0,-3.0,True,mini-swe-agent,0,[],glm-5-2,8.954103596142133,0.43777777777777777,113,zai,max
mini_swe_agent_gpt_5_4_xhigh,-1.1102230246251565e-16,113,False,29.0,10.918422613247863,5.6524577245575225,0.5176991150442478,20.5,8.5,True,mini-swe-agent,0,[],gpt-5-4,10.918422613247865,0.5176991150442478,113,openai,xhigh
mini_swe_agent_gpt_5_5_high,2.220446049250313e-16,113,False,22.0,7.922328268041238,5.100437004424779,0.6438053097345132,11.0,11.0,True,mini-swe-agent,0,[],gpt-5-5,7.9223282680412375,0.6438053097345132,113,openai,high
mini_swe_agent_gpt_5_5_low,0.0,113,False,10.0,4.4466520491803285,1.2002025442477877,0.26991150442477874,36.0,-26.0,True,mini-swe-agent,0,[],gpt-5-5,4.4466520491803285,0.26991150442477874,113,openai,low
mini_swe_agent_gpt_5_5_medium,4.440892098500626e-16,113,False,14.0,5.093044737704919,2.7493427345132746,0.5398230088495575,17.0,-3.0,True,mini-swe-agent,0,[],gpt-5-5,5.0930447377049175,0.5398230088495575,113,openai,medium
mini_swe_agent_gpt_5_5_xhigh,0.0,113,False,28.0,10.779732597359736,7.226236674778761,0.6703539823008849,9.0,19.0,True,mini-swe-agent,0,[],gpt-5-5,10.779732597359736,0.6703539823008849,113,openai,xhigh
mini_swe_agent_gpt_5_6_luna_high,0.0,113,True,2.0,1.758055695,0.77790075,0.4424778761061947,26.0,-24.0,True,mini-swe-agent,0,[],gpt-5-6-luna,1.758055695,0.4424778761061947,113,openai,high
mini_swe_agent_gpt_5_6_luna_low,2.220446049250313e-16,113,True,12.0,4.6753743142857145,0.07240623938053098,0.015486725663716814,40.0,-28.0,True,mini-swe-agent,0,[],gpt-5-6-luna,4.675374314285714,0.015486725663716814,113,openai,low
mini_swe_agent_gpt_5_6_luna_max,0.02580392138611365,113,True,11.0,4.623261913879781,3.119678946312684,0.6747787610619469,8.0,3.0,True,mini-swe-agent,0,[],gpt-5-6-luna,4.506964554817276,0.671875,113,openai,max
mini_swe_agent_gpt_5_6_luna_medium,2.220446049250313e-16,113,True,4.0,1.9170985294117648,0.21630978982300886,0.11283185840707964,39.0,-35.0,True,mini-swe-agent,0,[],gpt-5-6-luna,1.9170985294117646,0.11283185840707964,113,openai,medium
mini_swe_agent_gpt_5_6_luna_xhigh,0.0,113,True,7.0,2.7007778575875485,1.5356192685840708,0.5685840707964602,15.0,-8.0,True,mini-swe-agent,0,[],gpt-5-6-luna,2.7007778575875485,0.5685840707964602,113,openai,xhigh
mini_swe_agent_gpt_5_6_sol_high,0.00036987090346563,113,True,13.0,5.001512913829787,3.467125471238938,0.6932153392330384,5.0,8.0,True,mini-swe-agent,0,[],gpt-5-6-sol,4.99966368370607,0.6940133037694013,113,openai,high
mini_swe_agent_gpt_5_6_sol_low,0.0,113,True,6.0,2.3686265463414635,1.0742664646017699,0.45353982300884954,25.0,-19.0,True,mini-swe-agent,0,[],gpt-5-6-sol,2.3686265463414635,0.45353982300884954,113,openai,low
mini_swe_agent_gpt_5_6_sol_max,-0.0014657982619786791,113,True,30.0,11.524050719512195,8.362585477876106,0.7256637168141593,1.0,29.0,True,mini-swe-agent,0,[],gpt-5-6-sol,11.540967449541284,0.7266666666666667,113,openai,max
mini_swe_agent_gpt_5_6_sol_medium,2.220446049250313e-16,113,True,8.0,3.04941440942029,1.8620318075221238,0.6106194690265486,12.0,-4.0,True,mini-swe-agent,0,[],gpt-5-6-sol,3.0494144094202897,0.6106194690265486,113,openai,medium
mini_swe_agent_gpt_5_6_sol_xhigh,-1.1312108114114316e-05,113,True,17.0,6.649932301041667,4.707916673303835,0.7079646017699115,2.0,15.0,True,mini-swe-agent,0,[],gpt-5-6-sol,6.650007526645768,0.7073170731707317,113,openai,xhigh
mini_swe_agent_gpt_5_6_terra_high,0.0,113,True,5.0,2.1100332386831275,1.1343762765486725,0.5376106194690266,18.0,-13.0,True,mini-swe-agent,0,[],gpt-5-6-terra,2.1100332386831275,0.5376106194690266,113,openai,high
mini_swe_agent_gpt_5_6_terra_low,-0.006866050265817436,113,True,3.0,1.7661013399390244,0.4271985542035398,0.24188790560471976,37.0,-34.0,True,mini-swe-agent,0,[],gpt-5-6-terra,1.7783113148148149,0.24053452115812918,113,openai,low
mini_swe_agent_gpt_5_6_terra_max,0.003811137172046841,113,False,19.0,7.130822138095238,4.9694888794247785,0.6969026548672567,4.0,15.0,True,mini-swe-agent,0,[],gpt-5-6-terra,7.103748777070064,0.6962305986696231,113,openai,max
mini_swe_agent_gpt_5_6_terra_medium,0.005256632190186572,113,True,1.0,1.6698853375527427,0.5837209808259587,0.3495575221238938,32.0,-31.0,True,mini-swe-agent,0,[],gpt-5-6-terra,1.661153265822785,0.3511111111111111,113,openai,medium
mini_swe_agent_gpt_5_6_terra_xhigh,0.0,113,False,9.0,3.534892132352941,2.127191725663717,0.6017699115044248,13.0,-4.0,True,mini-swe-agent,0,[],gpt-5-6-terra,3.534892132352941,0.6017699115044248,113,openai,xhigh
mini_swe_agent_kimi_k2_7_code_default,2.220446049250313e-16,113,False,25.0,9.221901318550726,2.8155362432743365,0.3053097345132743,33.0,-8.0,True,mini-swe-agent,0,[],kimi-k2-7-code,9.221901318550724,0.3053097345132743,113,openrouter,
