config_a,config_a_matched_attempts,config_a_matched_cpsc_usd,config_a_matched_pass_rate,config_a_matched_successes,config_a_matched_total_cost_usd,config_a_solved_tasks,config_b,config_b_matched_attempts,config_b_matched_cpsc_usd,config_b_matched_pass_rate,config_b_matched_successes,config_b_matched_total_cost_usd,config_b_solved_tasks,matched_tasks,solved_task_jaccard,solved_task_union
mini_swe_agent_claude_fable_5_high,330,11.103544020295203,0.8212121212121212,271,3009.0604295000003,98,mini_swe_agent_claude_fable_5_low,332,5.028654190763053,0.75,249,1252.1348935,92,87,0.8446601941747572,103
mini_swe_agent_claude_fable_5_high,339,11.165806354092528,0.8289085545722714,281,3137.5915855000003,98,mini_swe_agent_claude_fable_5_max,346,25.76977889115646,0.8497109826589595,294,7576.314993999999,95,89,0.8557692307692307,104
mini_swe_agent_claude_fable_5_high,343,10.968826713261649,0.8134110787172012,279,3060.302653,98,mini_swe_agent_claude_fable_5_medium,347,7.4048806053571425,0.8069164265129684,280,2073.3665695,94,90,0.8823529411764706,102
mini_swe_agent_claude_fable_5_high,356,11.450607193103448,0.8146067415730337,290,3320.676086,98,mini_swe_agent_claude_fable_5_xhigh,376,16.565951517973854,0.8138297872340425,306,5069.1811645,100,94,0.9038461538461539,104
mini_swe_agent_claude_fable_5_high,316,10.876393358527132,0.8164556962025317,258,2806.1094865,98,mini_swe_agent_claude_opus_4_8_high,328,6.01274187721239,0.6890243902439024,226,1358.8796642500001,88,82,0.7884615384615384,104
mini_swe_agent_claude_fable_5_high,279,10.884414305555556,0.8387096774193549,234,2546.9529475,98,mini_swe_agent_claude_opus_4_8_low,292,3.785236935028249,0.6061643835616438,177,669.9869375000001,77,73,0.7156862745098039,102
mini_swe_agent_claude_fable_5_high,324,11.15235677631579,0.8209876543209876,266,2966.5269025000002,98,mini_swe_agent_claude_opus_4_8_max,332,17.723618546558704,0.7439759036144579,247,4377.733781,88,85,0.8415841584158416,101
mini_swe_agent_claude_fable_5_high,306,11.031234583657588,0.8398692810457516,257,2835.027288,98,mini_swe_agent_claude_opus_4_8_medium,320,5.288917540476191,0.65625,210,1110.6726835,86,80,0.7692307692307693,104
mini_swe_agent_claude_fable_5_high,330,11.271395589887641,0.8090909090909091,267,3009.4626225,98,mini_swe_agent_claude_opus_4_8_xhigh,341,11.753582377682404,0.6832844574780058,233,2738.584694,91,86,0.8349514563106796,103
mini_swe_agent_claude_fable_5_high,227,11.29158674331551,0.8237885462555066,187,2111.526721,98,mini_swe_agent_claude_sonnet_4_6_high,236,11.061293966400001,0.5296610169491526,125,1382.6617458,64,59,0.5728155339805825,103
mini_swe_agent_claude_fable_5_high,312,11.123567447265625,0.8205128205128205,256,2847.6332665,98,mini_swe_agent_claude_sonnet_5_high,328,11.88700806395706,0.625,205,2436.8366531111974,90,82,0.7735849056603774,106
mini_swe_agent_claude_fable_5_high,222,10.751823385869566,0.8288288288288288,184,1978.335503,98,mini_swe_agent_claude_sonnet_5_low,232,3.7714666230468747,0.5517241379310345,128,482.74772774999997,65,58,0.5523809523809524,105
